ID_Usuario,DNI_Usuario,Edad,Género,Ubicación,Tipo_Viajero,ID_Reserva,Fecha_Reserva,Fecha_Viaje,Antelacion_Reserva,Duracion_Viaje,Numero_Personas,Tipo_Paquete,Costo_Total,Metodo_Pago,Destino,Tipo_Alojamiento,Clase_Vuelo,Actividades_Reservadas,Numero_Noches_Estancia,Promocion_Aplicada,Fuente_Reserva,Estado_Reserva,Mes_Reserva,Mes_Viaje,Estacionalidad,Cancelacion_Reserva,Calificacion_Usuario,Comentarios
U0013,22169103R,45,Other,UK,Negocios,R00013,2024|04|12 00:00:00,2024|10|11 00:00:00,248,9,4,Vuelo + Hotel + Tour,1171.47,Transferencia bancaria,Paris,Airbnb,Económica,,6,False,Agente de viajes,Cancelada,9,11,Temporada alta,True,2,
U0014,89913768Y,24,Female,Germany,Turista,R00014,2024|01|15 00:00:00,2024|07|23 00:00:00,216,12,1,Vuelo + Hotel,1226.81,PayPal,Rome,Resort,Económica,,2,False,Agente de viajes,Pendiente,7,1,Temporada alta,False,1,No me gustó el servicio
U0015,53433539P,27,Other,Germany,Negocios,R00015,2024|03|30 00:00:00,2024|09|14 00:00:00,127,10,2,Solo vuelo,1549.64,Transferencia bancaria,Cancun,,Primera clase,,2,True,Sitio web,Cancelada,1,12,Temporada alta,False,3,Problemas con la reserva
U0016,88339325M,20,Other,Mexico,Tusirta,R00016,2024|10|22 00:00:00,2024|12|20 00:00:00,313,12,3,Vuelo + Hotel + Tour,1558.62,Transferencia bancaria,Cancun,Airbnb,Primera clase,City tour,3,False,App móvil,Confirmada,8,6,Temporada alta,True,5,Todo bien
U0017,32165059L,27,Female,Australia,Tusirta,R00017,2024|04|07 00:00:00,2024|11|13 00:00:00,338,9,4,Vuelo + Hotel + Tour,668.48,Tarjeta de crédito,Paris,Hotel,Económica,,4,True,Agente de viajes,Cancelada,9,5,Temporada alta,True,4,Todo bien
U0018,37040612D,43,Female,Australia,Turista,R00018,2024|05|14 00:00:00,2024|08|26 00:00:00,133,2,3,Vuelo + Hotel,277.7,Tarjeta de crédito,London,Hotel,Económica,,3,True,App móvil,Pendiente,8,10,Temporada alta,True,2,Todo bien
U0019,36483028Z,39,Other,UK,Tusirta,R00019,2024|06|16 00:00:00,2024|07|04 00:00:00,344,5,1,Vuelo + Hotel,1027.8,PayPal,Paris,Hotel,Primera clase,,2,True,App móvil,Cancelada,12,12,Temporada baja,True,4,Recomendado
U0020,57725381G,37,Male,Spain,Negocios,R00020,2024|06|18 00:00:00,2024|07|22 00:00:00,266,12,2,Vuelo + Hotel + Tour,263.4,Tarjeta de crédito,Barcelona,Airbnb,Ejecutiva,,5,False,Agente de viajes,Cancelada,8,1,Temporada alta,False,5,Todo bien
U0021,72120965A,54,Male,USA,Negocios,R00021,2024|02|10 00:00:00,2024|08|29 00:00:00,340,2,2,Vuelo + Hotel,397.88,PayPal,Cancun,Resort,Económica,,6,True,Agente de viajes,Cancelada,3,5,Temporada baja,True,2,No me gustó el servicio
U0022,13996430X,33,Male,Germany,Negocios,R00022,2024|10|23 00:00:00,2024|10|30 00:00:00,220,5,4,Vuelo + Hotel,1816.13,PayPal,Cancun,Hotel,Primera clase,,3,False,Agente de viajes,Pendiente,7,1,Temporada alta,False,4,Todo bien
U0023,50486001N,32,Other,Spain,Turista,R00023,2024|08|09 00:00:00,2024|08|28 00:00:00,56,13,2,Vuelo + Hotel,167.84,Tarjeta de crédito,Tokyo,Airbnb,Económica,,3,False,App móvil,Cancelada,12,10,Temporada baja,False,1,Problemas con la reserva
U0024,14942848R,32,Female,Germany,Turista,R00024,2024|06|30 00:00:00,2024|11|14 00:00:00,246,4,1,Solo vuelo,1894.68,Tarjeta de crédito,Tokyo,,Económica,,3,False,Agente de viajes,Confirmada,1,2,Temporada alta,True,1,Problemas con la reserva
U0025,11757997Y,34,Female,UK,Turista,R00025,2024|04|28 00:00:00,2024|10|05 00:00:00,159,4,4,Vuelo + Hotel,1233.78,PayPal,New York,Resort,Ejecutiva,,7,True,App móvil,Pendiente,1,3,Temporada alta,False,3,Problemas con la reserva
U0026,86774479X,62,Other,Spain,Turista,R00026,2024|02|09 00:00:00,2024|03|10 00:00:00,334,11,1,Vuelo + Hotel,1741.13,PayPal,New York,Hotel,Ejecutiva,,7,False,App móvil,Cancelada,4,1,Temporada baja,True,3,
U0027,72439860A,46,Other,Spain,Negocios,R00027,2024|07|29 00:00:00,2024|08|04 00:00:00,27,11,4,Solo vuelo,1645.58,Transferencia bancaria,Barcelona,,Primera clase,,6,False,App móvil,Confirmada,1,11,Temporada baja,False,5,Excelente viaje
U0028,39342077W,49,Female,India,Turista,R00028,2024|03|27 00:00:00,2024|12|25 00:00:00,9,5,1,Solo vuelo,192.27,Transferencia bancaria,Tokyo,,Primera clase,,7,False,App móvil,Cancelada,8,8,Temporada baja,True,5,Recomendado
U0029,40220262R,36,Female,Germany,Negocios,R00029,2024|02|08 00:00:00,2024|10|22 00:00:00,360,9,2,Vuelo + Hotel + Tour,406.01,Tarjeta de crédito,New York,Airbnb,Ejecutiva,Excursión en bote,7,False,Sitio web,Cancelada,12,11,Temporada alta,False,5,Recomendado
U0030,38426912F,19,Male,Australia,Negocios,R00030,2024|08|24 00:00:00,2024|11|16 00:00:00,247,5,4,Solo vuelo,1757.1,Tarjeta de crédito,Paris,,Económica,,8,True,App móvil,Pendiente,1,10,Temporada alta,True,1,Problemas con la reserva
U0031,42810965F,48,Other,Mexico,Negocios,R00031,2024|01|14 00:00:00,2024|03|11 00:00:00,338,13,4,Vuelo + Hotel,1049.75,PayPal,Cancun,Airbnb,Primera clase,,5,False,App móvil,Cancelada,11,6,Temporada alta,True,5,Todo bien
U0032,77901594L,62,Male,India,Negocios,R00032,2024|05|05 00:00:00,2024|12|26 00:00:00,231,6,3,Solo vuelo,1238.58,PayPal,Paris,,Económica,,3,True,App móvil,Confirmada,12,7,Temporada alta,False,3,Todo bien
U0033,31298089B,47,Male,India,Negocios,R00033,2024|02|08 00:00:00,2024|08|04 00:00:00,280,7,1,Solo vuelo,939.28,Tarjeta de crédito,New York,,Primera clase,,2,False,Agente de viajes,Cancelada,6,12,Temporada baja,True,4,Recomendado
U0034,22459835J,47,Other,Germany,Negocios,R00034,2024|04|05 00:00:00,2024|08|29 00:00:00,323,13,3,Solo vuelo,814.51,Transferencia bancaria,Cancun,,Primera clase,,1,False,App móvil,Cancelada,2,11,Temporada alta,False,3,No me gustó el servicio
U0035,95314414E,47,Other,UK,Negocios,R00035,2024|01|22 00:00:00,2024|05|22 00:00:00,214,12,3,Solo vuelo,681.12,Tarjeta de crédito,Tokyo,,Ejecutiva,,8,False,App móvil,Cancelada,5,4,Temporada baja,True,5,Todo bien
U0036,40805890A,26,Female,USA,Tusirta,R00036,2024|11|29 00:00:00,2024|12|08 00:00:00,264,9,1,Solo vuelo,501.29,Tarjeta de crédito,Tokyo,,Económica,,4,True,Sitio web,Cancelada,9,4,Temporada alta,True,5,Recomendado
U0037,10268989H,45,Female,India,Tusirta,R00037,2024|04|07 00:00:00,2024|07|02 00:00:00,346,4,4,Vuelo + Hotel,1830.74,Tarjeta de crédito,New York,Resort,Primera clase,,7,False,App móvil,Pendiente,8,6,Temporada alta,False,5,Todo bien
U0038,49752238H,56,Female,India,Turista,R00038,2024|07|10 00:00:00,2024|09|14 00:00:00,344,7,1,Solo vuelo,1933.6,Transferencia bancaria,New York,,Económica,,8,False,App móvil,Pendiente,3,12,Temporada alta,False,2,Todo bien
U0039,10958537A,21,Male,Australia,Tusirta,R00039,2024|02|05 00:00:00,2024|02|24 00:00:00,50,1,4,Vuelo + Hotel + Tour,752.32,PayPal,Tokyo,Hotel,Económica,City tour,3,True,Sitio web,Confirmada,11,11,Temporada baja,False,1,Problemas con la reserva
U0040,25867915E,32,Other,USA,Tusirta,R00040,2024|04|01 00:00:00,2024|09|25 00:00:00,11,8,3,Vuelo + Hotel,1151.71,Tarjeta de crédito,New York,Resort,Económica,,1,True,Agente de viajes,Pendiente,2,3,Temporada alta,False,5,Excelente viaje
U0041,26592976P,21,Other,UK,Tusirta,R00041,2024|11|15 00:00:00,2024|12|15 00:00:00,322,5,2,Vuelo + Hotel + Tour,1619.23,Transferencia bancaria,London,Hotel,Económica,,9,False,Agente de viajes,Cancelada,9,10,Temporada alta,True,5,Recomendado
U0042,32978179C,24,Male,USA,Turista,R00042,2024|03|15 00:00:00,2024|05|15 00:00:00,148,12,4,Solo vuelo,172.31,PayPal,Paris,,Económica,,5,True,App móvil,Pendiente,3,11,Temporada baja,True,1,Problemas con la reserva
U0043,83595718X,29,Other,Australia,Negocios,R00043,2024|02|19 00:00:00,2024|09|07 00:00:00,96,1,4,Vuelo + Hotel + Tour,1519.54,Transferencia bancaria,Barcelona,Airbnb,Ejecutiva,,9,True,Agente de viajes,Pendiente,8,6,Temporada alta,False,4,Recomendado
U0044,16289524G,42,Female,India,Turista,R00044,2024|08|25 00:00:00,2024|10|22 00:00:00,144,12,1,Vuelo + Hotel,1241.08,PayPal,New York,Hotel,Económica,,5,True,Agente de viajes,Pendiente,7,4,Temporada alta,False,1,Problemas con la reserva
U0045,38845700B,43,Other,UK,Turista,R00045,2024|07|12 00:00:00,2024|07|26 00:00:00,82,12,2,Vuelo + Hotel,1557.91,Tarjeta de crédito,Cancun,Airbnb,Económica,,9,True,Agente de viajes,Pendiente,10,3,Temporada alta,False,4,Recomendado
U0046,14510943J,63,Other,Germany,Negocios,R00046,2024|07|18 00:00:00,2024|08|09 00:00:00,321,7,4,Vuelo + Hotel,364.75,PayPal,New York,Airbnb,Económica,,7,True,App móvil,Cancelada,10,3,Temporada baja,True,5,
U0047,18496419A,34,Male,Mexico,Tusirta,R00047,2024|04|14 00:00:00,2024|06|05 00:00:00,239,10,3,Vuelo + Hotel,1531.5,PayPal,Rome,Hotel,Primera clase,,7,True,Agente de viajes,Confirmada,8,10,Temporada alta,False,3,Recomendado
U0048,89558632J,64,Other,Germany,Tusirta,R00048,2024|02|19 00:00:00,2024|04|04 00:00:00,291,8,1,Vuelo + Hotel + Tour,1164.56,Tarjeta de crédito,Tokyo,Resort,Ejecutiva,Tour en bus,6,False,Agente de viajes,Pendiente,11,6,Temporada alta,False,3,Todo bien
U0049,62509792R,19,Female,Australia,Tusirta,R00049,2024|09|18 00:00:00,2024|11|05 00:00:00,210,12,4,Vuelo + Hotel,317.58,PayPal,New York,Airbnb,Ejecutiva,,9,True,Agente de viajes,Pendiente,6,10,Temporada baja,False,2,Problemas con la reserva
U0050,87661005R,37,Male,Spain,Negocios,R00050,2024|07|14 00:00:00,2024|12|10 00:00:00,260,3,4,Vuelo + Hotel,827.05,Tarjeta de crédito,Cancun,Airbnb,Primera clase,,8,False,Sitio web,Pendiente,5,9,Temporada baja,True,1,Problemas con la reserva
U0051,61651755W,55,Female,USA,Tusirta,R00051,2024|08|03 00:00:00,2024|09|28 00:00:00,62,14,1,Vuelo + Hotel + Tour,1696.21,Transferencia bancaria,Cancun,Hotel,Económica,City tour,5,True,Sitio web,Cancelada,3,12,Temporada baja,False,2,No me gustó el servicio
U0052,47343703C,41,Male,Germany,Tusirta,R00052,2024|01|11 00:00:00,2024|04|25 00:00:00,249,8,1,Vuelo + Hotel + Tour,1504.98,Transferencia bancaria,Tokyo,Hotel,Económica,City tour,3,True,Sitio web,Confirmada,1,12,Temporada alta,False,1,Problemas con la reserva
U0053,43408974Q,25,Other,Germany,Negocios,R00053,2024|05|12 00:00:00,2024|08|13 00:00:00,278,8,1,Vuelo + Hotel + Tour,513.56,Transferencia bancaria,Paris,Resort,Primera clase,Excursión en bote,8,False,Agente de viajes,Cancelada,1,4,Temporada baja,True,1,Problemas con la reserva
U0054,91649328D,31,Other,Spain,Turista,R00054,2024|08|10 00:00:00,2024|11|12 00:00:00,138,4,1,Vuelo + Hotel,1056.59,Transferencia bancaria,Barcelona,Hotel,Económica,,8,True,Agente de viajes,Cancelada,5,1,Temporada alta,True,5,Recomendado
U0055,46270464F,54,Other,Germany,Negocios,R00055,2024|02|27 00:00:00,2024|07|23 00:00:00,36,14,3,Solo vuelo,897.0,Tarjeta de crédito,Tokyo,,Ejecutiva,,3,True,Sitio web,Cancelada,9,6,Temporada baja,False,5,Recomendado
U0056,61280885F,26,Other,India,Negocios,R00056,2024|04|05 00:00:00,2024|04|12 00:00:00,336,4,1,Solo vuelo,1949.34,Transferencia bancaria,London,,Ejecutiva,,8,False,Sitio web,Confirmada,4,7,Temporada baja,True,5,Recomendado
U0057,71065628K,34,Female,Mexico,Turista,R00057,2024|02|28 00:00:00,2024|04|03 00:00:00,331,13,4,Vuelo + Hotel,682.57,Tarjeta de crédito,Paris,Resort,Primera clase,,4,True,Sitio web,Confirmada,1,4,Temporada alta,False,5,Recomendado
U0058,98322312A,44,Female,Australia,Turista,R00058,2024|02|21 00:00:00,2024|03|21 00:00:00,254,2,3,Vuelo + Hotel,390.46,Transferencia bancaria,Rome,Hotel,Económica,,3,False,App móvil,Cancelada,12,2,Temporada alta,True,1,Problemas con la reserva
U0059,48566570T,57,Female,Australia,Tusirta,R00059,2024|02|15 00:00:00,2024|07|08 00:00:00,153,1,2,Vuelo + Hotel + Tour,422.08,PayPal,Barcelona,Resort,Ejecutiva,Tour en bus,4,True,Agente de viajes,Cancelada,7,5,Temporada alta,False,2,Todo bien
U0060,15803424D,41,Other,India,Negocios,R00060,2024|03|30 00:00:00,2024|10|31 00:00:00,334,4,3,Solo vuelo,788.83,Transferencia bancaria,Cancun,,Primera clase,,7,False,App móvil,Confirmada,7,1,Temporada baja,True,4,Excelente viaje
U0061,73944822Y,48,Male,UK,Tusirta,R00061,2024|02|16 00:00:00,2024|04|17 00:00:00,174,8,3,Vuelo + Hotel + Tour,929.26,PayPal,Barcelona,Hotel,Primera clase,Tour en bus,8,False,Sitio web,Cancelada,2,10,Temporada alta,False,4,Todo bien
U0062,18366777N,55,Female,UK,Turista,R00062,2024|03|04 00:00:00,2024|11|27 00:00:00,200,3,2,Vuelo + Hotel,1762.08,PayPal,Barcelona,Airbnb,Económica,,3,False,Agente de viajes,Confirmada,12,1,Temporada alta,False,5,Excelente viaje
U0063,46062981F,19,Other,USA,Negocios,R00063,2024|06|12 00:00:00,2024|12|22 00:00:00,154,4,4,Solo vuelo,236.48,PayPal,Paris,,Primera clase,,4,True,App móvil,Pendiente,10,3,Temporada alta,True,2,No me gustó el servicio
U0064,40507067L,26,Female,UK,Tusirta,R00064,2024|09|27 00:00:00,2024|11|07 00:00:00,72,2,3,Solo vuelo,856.45,Tarjeta de crédito,Paris,,Económica,,4,True,Agente de viajes,Pendiente,6,12,Temporada baja,True,1,No me gustó el servicio
U0065,15389791P,47,Male,UK,Negocios,R00065,2024|02|08 00:00:00,2024|11|29 00:00:00,354,14,2,Vuelo + Hotel + Tour,1113.09,Transferencia bancaria,Tokyo,Airbnb,Ejecutiva,City tour,1,True,Sitio web,Cancelada,10,7,Temporada alta,True,1,Problemas con la reserva
U0066,22761124W,48,Female,Germany,Turista,R00066,2024|07|20 00:00:00,2024|09|29 00:00:00,225,2,1,Vuelo + Hotel,1954.08,PayPal,London,Hotel,Económica,,3,True,App móvil,Pendiente,8,3,Temporada baja,False,4,Recomendado
U0067,71339723W,39,Male,UK,Turista,R00067,2024|05|28 00:00:00,2024|08|30 00:00:00,223,8,2,Vuelo + Hotel,1707.76,Tarjeta de crédito,Paris,Airbnb,Primera clase,,4,True,Sitio web,Cancelada,4,2,Temporada baja,True,2,No me gustó el servicio
U0068,17294904P,43,Other,USA,Negocios,R00068,2024|01|21 00:00:00,2024|09|25 00:00:00,137,1,2,Vuelo + Hotel + Tour,1048.55,Tarjeta de crédito,New York,Airbnb,Ejecutiva,,5,True,Sitio web,Confirmada,3,2,Temporada alta,True,1,No me gustó el servicio
U0069,40493635L,60,Female,Germany,Turista,R00069,2024|03|24 00:00:00,2024|10|29 00:00:00,66,14,3,Solo vuelo,1011.28,PayPal,New York,,Ejecutiva,,3,True,App móvil,Cancelada,9,11,Temporada baja,True,2,Problemas con la reserva
U0070,23929451K,62,Other,Mexico,Negocios,R00070,2024|01|28 00:00:00,2024|07|22 00:00:00,182,1,3,Solo vuelo,1067.59,PayPal,Cancun,,Económica,,5,True,Sitio web,Pendiente,8,10,Temporada baja,False,5,Todo bien
U0071,52107988Q,44,Male,UK,Tusirta,R00071,2024|10|25 00:00:00,2024|10|31 00:00:00,298,5,4,Vuelo + Hotel + Tour,316.14,Tarjeta de crédito,Barcelona,Resort,Ejecutiva,Tour en bus,4,False,App móvil,Pendiente,9,2,Temporada baja,False,3,Recomendado
U0072,63757066P,40,Female,UK,Turista,R00072,2024|01|21 00:00:00,2024|07|20 00:00:00,335,13,3,Vuelo + Hotel + Tour,228.53,Tarjeta de crédito,Paris,Airbnb,Ejecutiva,Excursión en bote,1,True,Sitio web,Pendiente,3,3,Temporada alta,True,4,Recomendado
U0073,81236103B,63,Other,USA,Turista,R00073,2024|08|23 00:00:00,2024|10|27 00:00:00,119,13,4,Vuelo + Hotel,1105.31,Transferencia bancaria,Cancun,Resort,Económica,,5,True,App móvil,Cancelada,4,4,Temporada alta,False,2,No me gustó el servicio
U0074,52268709J,29,Female,Australia,Turista,R00074,2024|08|13 00:00:00,2024|11|29 00:00:00,35,4,4,Solo vuelo,943.43,PayPal,Cancun,,Económica,,9,False,Agente de viajes,Cancelada,4,11,Temporada alta,True,5,Todo bien
U0075,10710695D,63,Other,USA,Negocios,R00075,2024|01|01 00:00:00,2024|02|25 00:00:00,268,7,2,Solo vuelo,1447.99,PayPal,Rome,,Ejecutiva,,6,True,Sitio web,Cancelada,2,9,Temporada baja,False,4,Recomendado
U0076,82595139T,33,Female,Germany,Turista,R00076,2024|03|21 00:00:00,2024|06|28 00:00:00,236,13,2,Vuelo + Hotel + Tour,1783.13,PayPal,Tokyo,Resort,Económica,City tour,7,True,Agente de viajes,Pendiente,2,12,Temporada baja,False,4,Excelente viaje
U0077,30621668C,36,Other,USA,Turista,R00077,2024|04|26 00:00:00,2024|06|22 00:00:00,222,10,4,Vuelo + Hotel,410.16,PayPal,Tokyo,Airbnb,Primera clase,,9,True,Agente de viajes,Cancelada,1,10,Temporada alta,True,4,Recomendado
U0078,54871604K,54,Female,Spain,Turista,R00078,2024|10|12 00:00:00,2024|12|18 00:00:00,114,7,1,Vuelo + Hotel,587.17,PayPal,Rome,Hotel,Económica,,9,False,Sitio web,Cancelada,12,4,Temporada alta,False,2,Problemas con la reserva
U0079,23345863N,54,Other,India,Negocios,R00079,2024|04|03 00:00:00,2024|06|15 00:00:00,157,3,3,Solo vuelo,861.86,Tarjeta de crédito,London,,Primera clase,,6,True,App móvil,Cancelada,1,12,Temporada alta,False,2,Problemas con la reserva
U0080,16249109T,36,Female,USA,Tusirta,R00080,2024|06|22 00:00:00,2024|07|31 00:00:00,303,4,2,Vuelo + Hotel,787.74,PayPal,Cancun,Airbnb,Ejecutiva,,2,False,App móvil,Cancelada,11,1,Temporada baja,True,3,Problemas con la reserva
U0081,47714616N,59,Other,UK,Turista,R00081,2024|02|27 00:00:00,2024|11|24 00:00:00,45,9,1,Solo vuelo,546.67,PayPal,Paris,,Primera clase,,2,True,Agente de viajes,Pendiente,3,4,Temporada baja,True,1,Problemas con la reserva
U0082,85204170A,31,Male,UK,Negocios,R00082,2024|02|07 00:00:00,2024|12|12 00:00:00,14,8,3,Vuelo + Hotel + Tour,1922.72,Transferencia bancaria,Tokyo,Resort,Primera clase,Excursión en bote,8,True,Sitio web,Confirmada,9,3,Temporada baja,False,3,Excelente viaje
U0083,26403920N,57,Other,India,Negocios,R00083,2024|09|26 00:00:00,2024|11|24 00:00:00,272,14,1,Solo vuelo,708.5,Transferencia bancaria,Paris,,Primera clase,,9,False,Agente de viajes,Cancelada,9,3,Temporada baja,False,4,
U0084,31175562M,19,Male,Germany,Negocios,R00084,2024|02|21 00:00:00,2024|04|15 00:00:00,90,11,2,Vuelo + Hotel,916.76,PayPal,London,Hotel,Primera clase,,8,False,Agente de viajes,Cancelada,3,4,Temporada alta,True,3,No me gustó el servicio
U0085,93332302G,27,Other,Spain,Tusirta,R00085,2024|06|25 00:00:00,2024|12|02 00:00:00,75,5,3,Vuelo + Hotel + Tour,496.3,PayPal,Barcelona,Airbnb,Ejecutiva,Excursión en bote,9,True,Agente de viajes,Confirmada,4,5,Temporada alta,False,5,Todo bien
U0086,71787508T,29,Female,Germany,Negocios,R00086,2024|05|07 00:00:00,2024|06|04 00:00:00,29,4,3,Solo vuelo,767.84,Tarjeta de crédito,Barcelona,,Económica,,5,True,Agente de viajes,Cancelada,6,4,Temporada alta,True,5,Recomendado
U0087,15982950C,46,Other,Australia,Turista,R00087,2024|06|05 00:00:00,2024|12|30 00:00:00,166,5,3,Vuelo + Hotel,208.41,PayPal,Tokyo,Hotel,Ejecutiva,,7,True,App móvil,Cancelada,8,4,Temporada alta,True,1,Problemas con la reserva
U0088,81425951V,41,Other,India,Negocios,R00088,2024|04|30 00:00:00,2024|09|16 00:00:00,87,14,1,Vuelo + Hotel,1683.39,PayPal,Cancun,Hotel,Primera clase,,6,True,Sitio web,Cancelada,10,7,Temporada alta,False,5,Todo bien
U0089,85155629S,46,Male,India,Turista,R00089,2024|02|08 00:00:00,2024|06|04 00:00:00,85,14,2,Vuelo + Hotel + Tour,1503.14,Tarjeta de crédito,Tokyo,Resort,Primera clase,Tour en bus,9,True,App móvil,Cancelada,6,8,Temporada alta,False,2,Problemas con la reserva
U0090,55676233H,61,Female,USA,Turista,R00090,2024|10|14 00:00:00,2024|12|28 00:00:00,276,3,2,Vuelo + Hotel + Tour,698.54,Transferencia bancaria,Rome,Hotel,Primera clase,Tour en bus,5,True,Sitio web,Pendiente,7,12,Temporada alta,False,3,Problemas con la reserva
U0091,67695375G,50,Male,India,Tusirta,R00091,2024|07|18 00:00:00,2024|10|25 00:00:00,349,7,2,Solo vuelo,1183.67,Transferencia bancaria,Paris,,Primera clase,,9,True,App móvil,Pendiente,7,12,Temporada baja,False,1,Problemas con la reserva
U0092,30077902C,63,Male,Spain,Negocios,R00092,2024|04|01 00:00:00,2024|10|10 00:00:00,191,11,1,Vuelo + Hotel,839.72,Transferencia bancaria,London,Airbnb,Económica,,1,True,App móvil,Cancelada,8,9,Temporada alta,False,4,Recomendado
U0093,91463706C,51,Male,Australia,Negocios,R00093,2024|01|14 00:00:00,2024|06|14 00:00:00,203,7,1,Vuelo + Hotel + Tour,740.3,Tarjeta de crédito,Cancun,Hotel,Ejecutiva,Tour en bus,8,True,App móvil,Pendiente,10,1,Temporada baja,False,4,Recomendado
U0094,20653853Z,25,Female,India,Turista,R00094,2024|05|13 00:00:00,2024|12|26 00:00:00,281,2,1,Vuelo + Hotel,1645.6,PayPal,London,Airbnb,Económica,,1,True,App móvil,Pendiente,3,6,Temporada baja,True,2,No me gustó el servicio
U0095,26305105M,51,Other,Spain,Turista,R00095,2024|06|20 00:00:00,2024|08|27 00:00:00,356,7,1,Vuelo + Hotel + Tour,964.72,Transferencia bancaria,Barcelona,Hotel,Primera clase,Excursión en bote,4,True,App móvil,Cancelada,11,10,Temporada alta,False,1,Problemas con la reserva
U0096,82078394L,47,Female,Germany,Tusirta,R00096,2024|11|14 00:00:00,2024|11|26 00:00:00,266,4,3,Solo vuelo,1138.39,Tarjeta de crédito,New York,,Económica,,1,True,App móvil,Cancelada,5,10,Temporada baja,True,3,Recomendado
U0097,61780034X,25,Female,India,Tusirta,R00097,2024|03|05 00:00:00,2024|09|30 00:00:00,141,8,3,Vuelo + Hotel + Tour,667.31,Tarjeta de crédito,Tokyo,Airbnb,Económica,City tour,8,False,Agente de viajes,Cancelada,3,5,Temporada baja,True,4,
U0098,46730826R,19,Female,Spain,Negocios,R00098,2024|05|25 00:00:00,2024|10|27 00:00:00,233,4,4,Vuelo + Hotel + Tour,1446.98,Tarjeta de crédito,Cancun,Hotel,Ejecutiva,Tour en bus,7,True,Sitio web,Confirmada,5,3,Temporada alta,True,3,Todo bien
